ID,INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
659,not bite,Red Card,midfielder,Winning,his team penalty area,Netherlands,12/27/2009,52,No Moon
660,not bite,Not Caught,journalist,Losing,off field,Netherlands,2/2/2009,61,No Moon
661,not bite,Not Caught,defender,Losing,No location,England,3/5/1998,50,Full
662,bite,Yellow card,journalist,Losing,off field,Uruguay,11/12/1996,83,Full
663,bite,None,goalkeeper,Losing,his team penalty area,Uruguay,12/4/1999,88,Full
664,not bite,Red Card,spectator,Winning,off field,Uruguay,8/3/2013,11,No Moon
665,bite,None,None,Losing,opponent team penalty area,Uruguay,4/14/1995,73,Half
666,not bite,None,None,Winning,No location,Netherlands,10/30/2010,91,Half
667,not bite,None,None,Winning,No location,Netherlands,9/4/2007,91,No Moon
668,not bite,None,journalist,Losing,off field,Uruguay,11/14/1996,9,No Moon
669,not bite,None,None,Winning,No location,Netherlands,3/9/2007,91,No Moon
670,bite,Not Caught,goalkeeper,Losing,his team penalty area,Netherlands,7/21/2009,12,Half
671,not bite,None,None,Winning,No location,Netherlands,12/8/2012,91,Half
672,not bite,None,None,Winning,No location,Uruguay,10/27/2004,91,Half
673,not bite,Not Caught,defender,Winning,his team penalty area,Netherlands,4/22/2008,48,Half
674,not bite,Suspended for several games,goalkeeper,Losing,his team penalty area,Uruguay,7/31/1997,3,No Moon
675,bite,Not Caught,spectator,Draw at a time,his team penalty area,England,9/29/1996,76,Full
676,not bite,Red Card,spectator,Draw at a time,off field,Uruguay,1/7/2004,22,Half
677,bite,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,8/10/2004,35,Half
678,not bite,Not Caught,defender,Losing,his team penalty area,Uruguay,6/4/2005,1,No Moon
679,not bite,Yellow card,midfielder,Losing,opponent team penalty area,Uruguay,10/3/2000,53,No Moon
680,not bite,Suspended for several games,defender,Losing,off field,Netherlands,2/19/2011,11,No Moon
681,not bite,Yellow card,defender,Winning,his team penalty area,Uruguay,11/25/1992,71,Full
682,not bite,None,None,Winning,No location,Netherlands,12/16/2008,91,Half
683,not bite,None,forward,Losing,his team penalty area,Uruguay,1/20/2002,10,No Moon
684,not bite,None,spectator,Draw at a time,off field,Netherlands,1/6/2009,70,Full
685,not bite,Yellow card,goalkeeper,Winning,off field,Uruguay,3/15/1999,49,No Moon
686,bite,yellow card,forward,Losing,opponent team penalty area,England,12/9/2001,89,No Moon
687,bite,Red Card,defender,Losing,midfield,Uruguay,1/23/2002,69,Half
688,not bite,Not Caught,midfielder,Draw at a time,off field,Netherlands,12/31/2008,77,No Moon
689,not bite,None,journalist,Winning,No location,Netherlands,12/27/2007,30,Full
690,bite,yellow card,None,Winning,midfield,Uruguay,6/14/2012,53,Full
691,not bite,Not Caught,forward,Losing,off field,Uruguay,6/30/2003,8,No Moon
692,not bite,Yellow card,journalist,Draw at a time,off field,Netherlands,8/18/2009,35,No Moon
693,not bite,Suspended for several games,defender,Winning,midfield,Uruguay,7/20/1997,78,No Moon
694,bite,Yellow card,forward,Losing,opponent team penalty area,Uruguay,11/20/2002,35,Half
695,not bite,Yellow card,forward,Winning,opponent team penalty area,Uruguay,12/16/1999,89,No Moon
696,not bite,Not Caught,forward,Draw at a time,opponent team penalty area,Netherlands,8/22/2010,75,No Moon
697,not bite,Not Caught,journalist,Winning,off field,Uruguay,8/12/2003,52,Half
698,not bite,Not Caught,forward,Winning,his team penalty area,Netherlands,11/2/2011,78,Half
699,not bite,Suspended for several games,midfielder,Draw at a time,opponent team penalty area,Netherlands,12/15/2009,72,Half
700,not bite,None,None,Draw at a time,his team penalty area,Uruguay,12/27/2013,26,Half
701,bite,Yellow card,journalist,Losing,off field,Uruguay,2/24/2002,37,Half
702,not bite,Red Card,goalkeeper,Winning,off field,Uruguay,7/17/1999,84,No Moon
703,bite,None,None,Draw at a time,his team penalty area,Uruguay,1/23/1996,81,Full
704,not bite,Yellow card,spectator,Winning,off field,Uruguay,6/2/1994,90,No Moon
705,bite,yellow card,defender,Losing,midfield,Uruguay,2/12/1997,86,Half
706,not bite,Not Caught,spectator,Draw at a time,off field,Netherlands,2/22/2007,54,No Moon
707,not bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1/19/1997,46,Half
708,bite,Yellow card,goalkeeper,Losing,off field,Netherlands,6/3/2009,84,Full
709,bite,Yellow card,referee,Winning,opponent team penalty area,England,12/9/1995,5,Full
710,not bite,Red Card,referee,Draw at a time,opponent team penalty area,Netherlands,6/5/2007,10,Half
711,not bite,None,None,Winning,No location,Netherlands,4/6/2011,91,No Moon
712,bite,Yellow card,spectator,Losing,off field,Netherlands,7/8/2006,83,Half
713,not bite,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,9/29/1999,36,Full
714,not bite,yellow card,referee,Losing,midfield,Uruguay,3/9/1996,82,No Moon
715,not bite,Yellow card,referee,Losing,midfield,Uruguay,6/18/1992,65,No Moon
716,not bite,None,goalkeeper,Winning,midfield,Netherlands,4/29/2011,25,Half
717,bite,Not Caught,midfielder,Losing,off field,Netherlands,6/23/2009,23,Half
718,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,7/31/1995,70,Half
719,not bite,None,None,Winning,No location,Uruguay,8/14/1997,91,No Moon
720,not bite,None,midfielder,Draw at a time,off field,Uruguay,6/3/2004,72,Half
721,not bite,None,None,Losing,midfield,Uruguay,4/6/2004,85,No Moon
722,bite,Red Card,defender,Losing,midfield,Netherlands,12/11/1994,27,Full
723,not bite,yellow card,midfielder,Winning,midfield,Netherlands,4/28/2008,83,No Moon
724,not bite,Not Caught,spectator,Winning,off field,England,3/30/2013,72,Full
725,bite,None,defender,Losing,opponent team penalty area,Netherlands,1/27/2009,58,Full
726,not bite,yellow card,defender,Winning,off field,England,1/23/2013,37,Half
727,bite,Not Caught,goalkeeper,Losing,midfield,Netherlands,2/28/1997,33,Full
728,bite,Suspended for several games,midfielder,Losing,his team penalty area,Uruguay,4/4/2004,81,Half
729,bite,Yellow card,forward,Winning,midfield,Netherlands,11/13/2008,39,Full
730,bite,yellow card,journalist,Winning,his team penalty area,Uruguay,5/22/1994,81,Full
731,not bite,Suspended for several games,defender,Draw at a time,his team penalty area,Uruguay,2/21/1995,47,No Moon
732,bite,None,None,Losing,midfield,England,12/1/2002,44,Full
733,not bite,Red Card,midfielder,Winning,midfield,Uruguay,1/28/2013,72,No Moon
734,bite,None,journalist,Losing,opponent team penalty area,Uruguay,4/2/1999,84,Full
735,not bite,Not Caught,forward,Draw at a time,opponent team penalty area,Netherlands,1/14/2011,46,Full
736,not bite,Yellow card,goalkeeper,Draw at a time,midfield,Uruguay,9/25/1997,69,Full
737,bite,yellow card,forward,Losing,midfield,Uruguay,2/18/2003,74,Full
738,not bite,Not Caught,defender,Winning,his team penalty area,Uruguay,4/6/1993,18,No Moon
739,bite,Yellow card,journalist,Winning,his team penalty area,Uruguay,9/21/2007,27,Full
740,bite,Suspended for several games,journalist,Losing,off field,Uruguay,2/9/1995,42,Half
741,bite,Suspended for several games,spectator,Losing,off field,Netherlands,11/21/2011,24,Half
742,not bite,None,journalist,Draw at a time,off field,Uruguay,3/16/2001,89,No Moon
743,not bite,Red Card,defender,Draw at a time,midfield,Netherlands,4/4/2008,25,Full
744,not bite,Not Caught,midfielder,Draw at a time,midfield,Uruguay,5/4/2006,86,No Moon
745,not bite,None,None,Winning,No location,Uruguay,10/16/2003,91,No Moon
746,not bite,Red Card,journalist,Draw at a time,off field,Uruguay,6/18/1992,37,No Moon
747,bite,Not Caught,forward,Draw at a time,opponent team penalty area,Uruguay,1/17/1994,38,Half
748,not bite,Not Caught,forward,Winning,opponent team penalty area,Netherlands,12/3/2006,80,No Moon
749,not bite,Red Card,midfielder,Losing,midfield,Uruguay,4/26/2014,40,No Moon
750,not bite,yellow card,journalist,Winning,off field,Uruguay,8/14/2006,61,Half
751,bite,Yellow card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,11/6/2012,86,Half
752,not bite,Not Caught,journalist,Winning,off field,Uruguay,8/6/1999,91,No Moon
753,not bite,yellow card,spectator,Winning,off field,Netherlands,12/22/2007,77,Half
754,not bite,None,None,Winning,No location,Uruguay,7/7/1996,91,No Moon
755,bite,Suspended for several games,journalist,Losing,No location,England,1/5/2011,23,Full
756,bite,Yellow card,forward,Draw at a time,off field,Uruguay,5/14/2013,39,Full
757,bite,yellow card,None,Losing,midfield,Netherlands,2/8/2009,67,Full
758,not bite,None,forward,Draw at a time,his team penalty area,Uruguay,7/2/2002,54,Full
759,bite,Red Card,defender,Draw at a time,his team penalty area,Uruguay,8/5/2004,10,Half
760,not bite,yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,3/8/2001,36,No Moon
761,not bite,None,spectator,Losing,off field,Uruguay,7/23/2001,85,No Moon
762,bite,Suspended for several games,forward,Losing,off field,Uruguay,8/16/2001,40,Half
763,not bite,Not Caught,goalkeeper,Winning,opponent team penalty area,Uruguay,4/29/2003,23,Half
764,not bite,Yellow card,forward,Winning,opponent team penalty area,England,4/4/2014,60,No Moon
765,bite,Yellow card,None,Losing,off field,England,9/16/2013,62,Full
766,not bite,Suspended for several games,forward,Losing,off field,Netherlands,9/8/2011,63,No Moon
767,not bite,Yellow card,goalkeeper,Draw at a time,midfield,Uruguay,10/9/2000,3,Half
768,not bite,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,10/24/2000,32,Half
769,not bite,None,None,Winning,No location,Uruguay,6/28/2000,91,No Moon
770,not bite,Not Caught,midfielder,Losing,midfield,Uruguay,9/30/2003,51,No Moon
771,not bite,Red Card,defender,Draw at a time,off field,Netherlands,4/4/2008,77,No Moon
772,not bite,Suspended for several games,forward,Draw at a time,opponent team penalty area,Netherlands,4/30/2009,6,Half
773,not bite,Yellow card,journalist,Losing,off field,Uruguay,2/14/2002,84,No Moon
774,bite,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,7/26/2004,88,Half
775,not bite,Yellow card,forward,Draw at a time,his team penalty area,Uruguay,7/31/1995,61,Half
776,bite,None,forward,Draw at a time,his team penalty area,Uruguay,5/13/2012,77,Full
777,bite,yellow card,None,Losing,his team penalty area,Uruguay,7/12/2005,72,Half
778,not bite,Suspended for several games,forward,Draw at a time,off field,Netherlands,8/3/2007,51,Full
779,not bite,Not Caught,goalkeeper,Losing,his team penalty area,Uruguay,6/1/2004,56,No Moon
780,not bite,yellow card,goalkeeper,Draw at a time,off field,Netherlands,10/27/2011,64,No Moon
781,not bite,Yellow card,forward,Winning,his team penalty area,Uruguay,6/27/2006,26,No Moon
782,not bite,Suspended for several games,forward,Draw at a time,opponent team penalty area,Uruguay,10/22/2005,30,No Moon
783,bite,Yellow card,goalkeeper,Losing,midfield,Uruguay,5/16/1999,67,Half
784,not bite,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,4/21/1996,76,Full
785,bite,yellow card,defender,Losing,off field,Uruguay,5/7/2006,82,No Moon
786,bite,Yellow card,journalist,Draw at a time,off field,Uruguay,7/29/2002,50,Full
787,not bite,None,None,Losing,opponent team penalty area,Uruguay,10/16/1993,83,No Moon
788,not bite,Red Card,None,Draw at a time,opponent team penalty area,Netherlands,12/5/2011,63,Full
789,bite,Suspended for several games,defender,Losing,his team penalty area,Uruguay,6/22/2003,26,Full
790,not bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,4/30/1996,32,No Moon
791,not bite,None,None,Winning,No location,Uruguay,1/25/1993,91,Half
792,bite,Red Card,goalkeeper,Losing,No location,Netherlands,6/14/2012,91,Half
793,not bite,Suspended for several games,midfielder,Winning,his team penalty area,Uruguay,8/31/1994,83,Half
794,bite,yellow card,referee,Winning,No location,Netherlands,3/13/2005,84,Full
795,bite,Not Caught,goalkeeper,Losing,his team penalty area,Netherlands,1/5/2011,49,Half
796,not bite,None,None,Winning,No location,Uruguay,4/5/2002,91,Half
797,bite,Yellow card,goalkeeper,Losing,off field,England,11/18/2011,88,No Moon
798,bite,Not Caught,goalkeeper,Losing,his team penalty area,Uruguay,2/10/1994,76,Half
799,bite,None,journalist,Losing,midfield,Uruguay,7/9/2012,87,No Moon
800,bite,Red Card,journalist,Losing,off field,Uruguay,4/15/1996,75,Half
801,not bite,Yellow card,forward,Winning,opponent team penalty area,Uruguay,1/12/2006,5,Half
802,not bite,None,goalkeeper,Winning,off field,Netherlands,6/14/2008,64,Half
803,bite,Red Card,journalist,Draw at a time,No location,Uruguay,7/31/2001,3,Full
804,bite,Not Caught,None,Losing,opponent team penalty area,Uruguay,2/27/2000,24,Half
805,bite,Yellow card,defender,Draw at a time,off field,Uruguay,3/23/2003,88,Half
806,not bite,None,journalist,Winning,off field,Uruguay,9/1/2006,22,No Moon
807,not bite,Not Caught,spectator,Winning,off field,Uruguay,2/16/1993,51,Half
808,not bite,Not Caught,goalkeeper,Draw at a time,off field,Uruguay,10/7/2005,2,No Moon
809,not bite,None,None,Winning,No location,Uruguay,12/27/2013,91,No Moon
810,bite,Yellow card,journalist,Losing,off field,Netherlands,3/5/1999,85,Full
811,not bite,Not Caught,defender,Losing,off field,Netherlands,3/23/2014,76,No Moon
812,not bite,None,None,Winning,No location,Uruguay,1/7/1998,91,Half
813,not bite,Not Caught,midfielder,Draw at a time,opponent team penalty area,Netherlands,12/8/2009,38,No Moon
814,not bite,Red Card,goalkeeper,Winning,midfield,Uruguay,8/28/1999,26,Full
815,not bite,yellow card,spectator,Winning,off field,Netherlands,10/9/2011,71,Half
816,bite,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,6/12/2000,25,Full
817,not bite,Yellow card,goalkeeper,Winning,opponent team penalty area,England,10/12/2013,47,Full
818,bite,Not Caught,referee,Losing,off field,Netherlands,3/14/2012,25,Full
819,not bite,None,None,Winning,No location,Netherlands,4/22/2008,91,Half
820,not bite,Not Caught,journalist,Draw at a time,off field,Uruguay,11/20/2004,31,Half
821,bite,Red Card,goalkeeper,Losing,midfield,Uruguay,4/1/2014,9,Half
822,not bite,None,None,Winning,No location,Uruguay,11/11/1996,91,Half
823,not bite,Red Card,forward,Losing,his team penalty area,Uruguay,12/7/1998,84,No Moon
824,bite,Suspended for several games,spectator,Losing,his team penalty area,England,10/12/1997,83,No Moon
825,not bite,yellow card,referee,Draw at a time,his team penalty area,Uruguay,7/4/2003,71,No Moon
826,bite,Not Caught,midfielder,Losing,off field,Uruguay,1/10/2000,24,Half
827,not bite,Not Caught,forward,Losing,off field,Netherlands,7/11/2011,40,No Moon
828,not bite,Suspended for several games,goalkeeper,Winning,midfield,Uruguay,8/15/2003,43,Half
829,not bite,None,defender,Winning,midfield,Uruguay,3/12/2005,81,No Moon
830,bite,Suspended for several games,defender,Losing,midfield,Netherlands,4/26/2008,10,Full
831,not bite,Suspended for several games,spectator,Winning,off field,Uruguay,8/31/2005,1,No Moon
832,bite,yellow card,goalkeeper,Losing,midfield,Uruguay,2/13/2005,85,Full
833,not bite,Yellow card,spectator,Draw at a time,off field,Uruguay,7/19/2002,54,Half
834,bite,yellow card,None,Losing,his team penalty area,Uruguay,9/13/2000,72,Full
835,bite,yellow card,defender,Winning,opponent team penalty area,Uruguay,8/17/1993,49,Full
836,not bite,yellow card,None,Losing,opponent team penalty area,Uruguay,8/12/1994,28,No Moon
837,not bite,Not Caught,defender,Winning,off field,Netherlands,2/28/2011,83,No Moon
838,not bite,None,None,Winning,No location,Uruguay,12/25/1995,91,No Moon
839,bite,Yellow card,defender,Losing,off field,England,4/10/2002,85,Half
840,not bite,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,10/20/1998,82,Half
841,not bite,None,midfielder,Losing,his team penalty area,Netherlands,9/23/2013,87,Half
842,bite,Red Card,goalkeeper,Draw at a time,off field,Uruguay,7/15/1994,91,Half
843,not bite,yellow card,journalist,Draw at a time,off field,Uruguay,1/11/2000,1,Half
844,bite,yellow card,goalkeeper,Draw at a time,off field,England,3/13/2010,11,Full
845,not bite,None,None,Winning,No location,Uruguay,4/18/2004,91,No Moon
846,not bite,Suspended for several games,journalist,Winning,off field,Uruguay,9/26/1997,44,No Moon
847,bite,Yellow card,None,Losing,opponent team penalty area,England,8/10/2008,91,No Moon
848,not bite,None,None,Winning,No location,Uruguay,5/21/1995,91,Half
849,bite,Red Card,forward,Losing,midfield,Netherlands,8/24/2010,16,Full
850,not bite,Not Caught,spectator,Draw at a time,off field,Netherlands,11/1/2009,9,No Moon
851,bite,Not Caught,referee,Losing,off field,Uruguay,1/9/2006,86,Half
852,not bite,Not Caught,journalist,Winning,off field,Uruguay,2/5/2003,40,No Moon
853,bite,Yellow card,forward,Losing,opponent team penalty area,Uruguay,9/30/2004,55,Full
854,not bite,None,None,Winning,No location,Uruguay,6/15/1992,91,Half
855,not bite,None,None,Winning,No location,Uruguay,3/15/1996,91,No Moon
856,not bite,Not Caught,goalkeeper,Winning,midfield,Uruguay,4/6/1997,55,Half
857,bite,Not Caught,None,Losing,opponent team penalty area,Netherlands,6/1/2004,81,Full
858,bite,None,spectator,Winning,No location,Uruguay,3/30/1994,72,Full
859,bite,Not Caught,forward,Losing,midfield,England,12/9/2012,40,Half
860,not bite,Red Card,referee,Winning,opponent team penalty area,Uruguay,11/10/2003,75,Half
861,bite,yellow card,spectator,Winning,midfield,Uruguay,2/7/1998,70,Full
862,not bite,Red Card,journalist,Draw at a time,off field,Netherlands,9/25/2009,71,Half
863,not bite,None,None,Winning,No location,Uruguay,4/17/1999,91,Half
864,bite,Yellow card,midfielder,Losing,his team penalty area,Netherlands,10/4/2010,46,Full
865,not bite,None,None,Winning,No location,Uruguay,12/24/1993,91,No Moon
866,not bite,None,None,Winning,No location,Netherlands,9/21/2012,91,Half
867,bite,yellow card,goalkeeper,Losing,No location,England,2/19/2009,89,Full
868,bite,Red Card,midfielder,Draw at a time,his team penalty area,Uruguay,7/12/2005,28,Half
869,bite,Not Caught,forward,Draw at a time,his team penalty area,Uruguay,6/10/1994,83,Full
870,not bite,Not Caught,goalkeeper,Winning,midfield,Uruguay,12/21/1994,63,No Moon
871,bite,None,spectator,Losing,opponent team penalty area,Netherlands,7/7/1996,89,No Moon
872,not bite,Suspended for several games,goalkeeper,Losing,off field,Uruguay,7/25/1999,86,No Moon
873,not bite,Not Caught,referee,Winning,off field,Uruguay,5/27/2006,67,Half
874,bite,Red Card,referee,Winning,his team penalty area,Uruguay,2/18/2003,78,Full
875,not bite,Not Caught,goalkeeper,Winning,off field,Uruguay,7/31/2001,25,No Moon
876,bite,Yellow card,goalkeeper,Losing,his team penalty area,Uruguay,10/10/2012,82,Half
877,not bite,Suspended for several games,spectator,Winning,off field,Netherlands,11/22/2011,14,No Moon
878,bite,Not Caught,goalkeeper,Losing,off field,Netherlands,7/28/2008,86,Full
879,bite,Not Caught,spectator,Winning,No location,Netherlands,3/20/2011,35,Full
880,bite,Red Card,forward,Losing,off field,Uruguay,8/28/2005,43,Half
881,bite,Suspended for several games,None,Losing,his team penalty area,Uruguay,12/19/1995,64,Half
882,not bite,None,None,Winning,No location,Uruguay,3/8/2006,91,No Moon
883,not bite,Not Caught,defender,Draw at a time,opponent team penalty area,Uruguay,11/9/1993,91,Half
884,not bite,Yellow card,forward,Winning,midfield,Uruguay,9/2/2012,3,No Moon
885,not bite,yellow card,defender,Draw at a time,off field,Netherlands,7/6/2008,82,No Moon
886,not bite,None,None,Winning,No location,Netherlands,8/27/2009,91,No Moon
887,not bite,Not Caught,forward,Losing,his team penalty area,Uruguay,9/7/2004,44,No Moon
888,not bite,Red Card,forward,Draw at a time,midfield,Uruguay,11/29/1998,90,No Moon
889,bite,Red Card,midfielder,Losing,opponent team penalty area,Uruguay,4/1/2001,46,Full
890,not bite,None,None,Winning,No location,Uruguay,11/29/1999,91,No Moon
891,bite,Yellow card,journalist,Losing,off field,Uruguay,4/23/2013,88,Half
892,bite,Suspended for several games,referee,Losing,opponent team penalty area,Uruguay,2/2/1994,67,Full
893,not bite,None,None,Winning,No location,Uruguay,8/23/2012,91,Half
894,bite,Not Caught,defender,Losing,midfield,Uruguay,1/16/1998,88,Full
895,not bite,None,None,Winning,No location,Netherlands,4/20/2012,91,Half
896,not bite,Yellow card,referee,Draw at a time,midfield,Netherlands,6/17/2007,90,No Moon
897,not bite,Yellow card,goalkeeper,Draw at a time,opponent team penalty area,Netherlands,8/24/2011,42,No Moon
898,not bite,Not Caught,forward,Winning,off field,Uruguay,1/16/1995,76,Full
899,bite,Red Card,journalist,Losing,off field,England,8/2/2013,19,Half
900,not bite,Yellow card,defender,Draw at a time,his team penalty area,Netherlands,1/10/2012,12,No Moon
901,not bite,Suspended for several games,forward,Draw at a time,midfield,Uruguay,10/20/2002,64,No Moon
902,bite,Not Caught,midfielder,Losing,off field,England,11/24/2013,82,Full
903,not bite,Yellow card,midfielder,Winning,his team penalty area,Netherlands,12/18/2010,15,No Moon
904,not bite,Yellow card,midfielder,Draw at a time,midfield,Netherlands,1/15/2007,89,No Moon
905,not bite,Yellow card,midfielder,Winning,his team penalty area,Uruguay,3/22/2002,64,No Moon
906,bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Uruguay,11/10/2003,63,Half
907,not bite,Not Caught,journalist,Draw at a time,off field,England,3/31/2014,59,No Moon
908,not bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,6/14/1998,12,Half
909,bite,Red Card,midfielder,Losing,midfield,Uruguay,2/7/1998,79,Full
910,bite,Suspended for several games,None,Draw at a time,his team penalty area,Netherlands,2/12/1997,61,Full
911,not bite,Red Card,forward,Draw at a time,midfield,Netherlands,6/6/2012,69,No Moon
912,not bite,Red Card,spectator,Losing,off field,Netherlands,6/25/2008,91,No Moon
913,bite,Suspended for several games,None,Draw at a time,No location,Uruguay,11/22/2007,83,Full
914,not bite,None,referee,Losing,off field,Uruguay,6/17/1999,89,No Moon
915,bite,Red Card,defender,Losing,midfield,Netherlands,7/8/2008,1,Half
916,not bite,Red Card,defender,Winning,midfield,Uruguay,4/5/1993,58,Full
917,not bite,Red Card,journalist,Losing,off field,Uruguay,7/17/2006,84,No Moon
918,not bite,None,None,Winning,No location,Netherlands,11/15/2010,91,Half
919,bite,Red Card,goalkeeper,Losing,his team penalty area,Netherlands,10/28/2007,9,Half
920,bite,Yellow card,defender,Losing,midfield,Uruguay,2/3/2001,64,Half
921,not bite,Yellow card,midfielder,Losing,his team penalty area,Uruguay,4/11/2006,10,No Moon
922,bite,Not Caught,defender,Losing,opponent team penalty area,Uruguay,8/17/1995,87,Full
923,not bite,None,None,Winning,No location,Netherlands,10/26/2008,91,No Moon
924,not bite,None,None,Winning,No location,Uruguay,4/10/2002,91,Half
925,bite,Not Caught,journalist,Draw at a time,off field,Uruguay,8/20/2004,84,Half
926,bite,None,journalist,Winning,opponent team penalty area,Uruguay,2/15/1999,87,Full
927,bite,Suspended for several games,defender,Losing,off field,Uruguay,8/30/1996,24,Half
928,not bite,None,None,Winning,No location,Uruguay,9/26/2012,91,No Moon
929,bite,Red Card,midfielder,Losing,opponent team penalty area,Uruguay,11/17/1999,56,Full
930,bite,Red Card,midfielder,Losing,off field,Netherlands,2/11/2008,48,Full
931,not bite,Red Card,midfielder,Draw at a time,off field,Uruguay,10/16/1997,86,No Moon
932,bite,Yellow card,forward,Losing,midfield,Uruguay,11/3/2007,35,Full
933,not bite,None,None,Winning,No location,England,8/2/2012,91,No Moon
934,not bite,None,None,Winning,No location,Uruguay,3/11/2001,91,Half
935,not bite,yellow card,forward,Draw at a time,his team penalty area,Uruguay,11/12/1995,87,No Moon
936,not bite,None,None,Winning,No location,Netherlands,4/26/2012,91,No Moon
937,bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,5/31/1993,65,Half
938,not bite,None,None,Winning,No location,Uruguay,3/22/1994,91,Half
939,not bite,yellow card,referee,Winning,opponent team penalty area,Uruguay,11/10/1992,41,Half
940,not bite,Yellow card,spectator,Draw at a time,off field,Netherlands,7/25/2011,76,Full
941,bite,None,goalkeeper,Losing,off field,Netherlands,2/23/1995,83,Half
942,not bite,yellow card,defender,Winning,his team penalty area,Uruguay,5/15/1994,58,Half
943,not bite,Not Caught,goalkeeper,Winning,opponent team penalty area,Uruguay,11/16/1994,87,Full
944,not bite,Not Caught,referee,Draw at a time,his team penalty area,Uruguay,11/23/1997,83,No Moon
945,not bite,None,None,Winning,No location,Uruguay,4/22/2001,91,Half
946,bite,Not Caught,forward,Draw at a time,opponent team penalty area,Uruguay,6/10/1994,82,Full
947,bite,None,defender,Winning,his team penalty area,Uruguay,8/11/1999,25,Full
948,bite,Yellow card,spectator,Losing,off field,Uruguay,12/9/1995,90,Half
949,bite,Red Card,forward,Losing,off field,Netherlands,1/3/1997,75,Full
950,bite,None,goalkeeper,Losing,opponent team penalty area,England,3/31/1995,0,Full
951,not bite,None,referee,Winning,off field,Uruguay,8/19/1999,11,Full
952,not bite,Suspended for several games,midfielder,Draw at a time,off field,Uruguay,7/29/2003,41,No Moon
953,not bite,Yellow card,midfielder,Losing,opponent team penalty area,Netherlands,5/2/2012,11,No Moon
954,bite,Suspended for several games,forward,Losing,his team penalty area,Uruguay,7/28/2004,48,Full
955,not bite,Not Caught,journalist,Draw at a time,off field,Uruguay,7/31/2004,65,Half
956,bite,Red Card,defender,Losing,off field,Uruguay,6/29/1999,12,Full
957,not bite,Suspended for several games,spectator,Winning,off field,Uruguay,12/9/1996,1,No Moon
958,bite,yellow card,goalkeeper,Losing,midfield,Netherlands,10/18/2011,55,Half
959,bite,None,midfielder,Losing,opponent team penalty area,Netherlands,6/25/1996,89,No Moon
960,not bite,None,forward,Losing,opponent team penalty area,Netherlands,8/30/2008,19,No Moon
961,bite,Suspended for several games,midfielder,Losing,off field,Uruguay,5/5/1995,41,Full
962,not bite,Red Card,spectator,Winning,off field,Uruguay,9/20/2002,72,Full
963,not bite,Not Caught,midfielder,Draw at a time,midfield,Uruguay,6/12/1992,91,Half
964,bite,Yellow card,journalist,Losing,off field,Uruguay,1/22/1995,61,Half
965,not bite,yellow card,spectator,Draw at a time,off field,Uruguay,3/4/2004,22,Half
966,not bite,Yellow card,referee,Draw at a time,midfield,Uruguay,8/5/1995,27,No Moon
967,not bite,Yellow card,forward,Draw at a time,his team penalty area,Uruguay,5/12/2001,58,No Moon
968,bite,Red Card,referee,Losing,off field,Uruguay,5/28/1994,17,Half
969,not bite,Yellow card,journalist,Winning,off field,England,2/5/2013,14,Full
970,bite,Suspended for several games,midfielder,Winning,No location,Uruguay,4/3/2013,13,Full
971,not bite,Not Caught,referee,Draw at a time,midfield,Uruguay,7/19/2005,82,No Moon
972,bite,Not Caught,forward,Losing,No location,England,8/11/2006,90,Half
973,not bite,yellow card,journalist,Winning,off field,Uruguay,1/1/2014,37,Half
974,bite,yellow card,goalkeeper,Losing,midfield,Uruguay,7/9/2002,25,Half
975,bite,yellow card,forward,Losing,off field,Uruguay,6/6/1997,35,Half
976,not bite,Not Caught,spectator,Losing,off field,Netherlands,2/1/2010,90,No Moon
977,not bite,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Netherlands,7/6/2008,88,No Moon
978,bite,Not Caught,None,Draw at a time,midfield,Netherlands,4/27/2012,88,Half
979,bite,Not Caught,referee,Losing,No location,Netherlands,1/20/1993,86,No Moon
980,not bite,None,None,Winning,No location,Netherlands,8/14/2007,91,Half
981,bite,Red Card,spectator,Losing,off field,Netherlands,4/22/2014,17,Half
982,not bite,Suspended for several games,None,Draw at a time,off field,Uruguay,4/28/1997,1,No Moon
983,not bite,Not Caught,journalist,Losing,off field,Netherlands,10/2/2006,43,No Moon
984,not bite,Yellow card,journalist,Draw at a time,off field,England,9/8/2012,47,Full
985,not bite,None,None,Winning,No location,Uruguay,8/18/1995,91,Half
